10/10,Brooklyn Technical High School,"29 Fort Greene Place, Brooklyn, NY, 11217","Public district, 9-12","5,839"
10/10,Ms 51 William Alexander,"350 5th Avenue, Brooklyn, NY, 11215","Public district, 6-8","1,132"
10/10,Ps 105 The Blythebourne,"1031 59th Street, Brooklyn, NY, 11219","Public district, K-5","1,514"
10/10,Ps 107 John W Kimball,"1301 8th Avenue, Brooklyn, NY, 11215","Public district, K-5",566
10/10,P.S. 172 Beacon School Of Excellence,"825 4th Avenue, Brooklyn, NY, 11232","Public district, PK-5",590
10/10,Jhs 201 The Dyker Heights,"8010 12th Avenue, Brooklyn, NY, 11228","Public district, 6-8","1,584"
10/10,Ps 321 William Penn,"180 7th Avenue, Brooklyn, NY, 11215","Public district, K-5","1,417"
10/10,I.S. 98 Bay Academy,"1401 Emmons Avenue, Brooklyn, NY, 11235","Public district, 6-8","1,532"
10/10,The Math And Science Exploratory School,"345 Dean Street, Brooklyn, NY, 11217","Public district, 6-8",524
10/10,New Voices School Of Academic And Creative Arts,"330 18th Street, Brooklyn, NY, 11215","Public district, 6-8",569
10/10,Brooklyn Latin School,"223 Graham Avenue, Brooklyn, NY, 11206","Public district, 9-12",681
10/10,Ps 748 Brooklyn School For Global Scholars,"1664 Benson Avenue, Brooklyn, NY, 11214","Public district, K-5",546
10/10,Success Academy Bed-Stuy 2,"211 Throop Avenue, Brooklyn, NY, 11206","Public charter, K-6",342
10/10,Success Academy Williamsburg,"183 South 3rd Street, Brooklyn, NY, 11211","Public charter, K-4",475
10/10,Success Acad Charter School-Brooklyn 6,"790 Prospect Place, Brooklyn, NY, 11216","Public charter, K-6",529
10/10,Success Academy Bensonhurst,"99 Avenue P, Brooklyn, NY, 11204","Public charter, K-4",494
10/10,Success Academy Bergen Beach,"1420 East 68 Street, Brooklyn, NY, 11234","Public charter, K-4",424
9/10,I.S. 187 The Christa Mcauliffe School,"1171 65th Street, Brooklyn, NY, 11219","Public district, 6-8",874
9/10,Ps 11 Purvis J Behan,"419 Waverly Avenue, Brooklyn, NY, 11238","Public district, PK-5",893
9/10,Ps 58 The Carroll,"330 Smith Street, Brooklyn, NY, 11231","Public district, PK-5",988
9/10,Ps 100 The Coney Island School,"2951 West 3rd Street, Brooklyn, NY, 11224","Public district, PK-5",793
9/10,P.S. 101 the Verrazano,"2360 Benson Avenue, Brooklyn, NY, 11214","Public district, K-5",865
9/10,Ps 195 Manhattan Beach,"131 Irwin Street, Brooklyn, NY, 11235","Public district, PK-5",479
9/10,Ps 229 Dyker,"1400 Benson Avenue, Brooklyn, NY, 11228","Public district, PK-8","1,249"
9/10,Jhs 234 Arthur W Cunningham,"1875 East 17th Street, Brooklyn, NY, 11229","Public district, 6-8","1,909"
9/10,Ps 235 Lenox School,"525 Lenox Road, Brooklyn, NY, 11203","Public district, PK-8","1,253"
9/10,Ps 236 Mill Basin,"6302 Avenue U, Brooklyn, NY, 11234","Public district, PK-5",552
9/10,Mark Twain is 239 for the Gifted and Talented,"2401 Neptune Avenue, Brooklyn, NY, 11224","Public district, 6-8","1,323"
9/10,Ps 247,"7000 21st Avenue, Brooklyn, NY, 11204","Public district, K-5",873
9/10,Ps 249 The Caton,"18 Marlborough Road, Brooklyn, NY, 11226","Public district, PK-5",873
