10/10,Bronx High School Of Science,"75 West 205th Street, Bronx, NY, 10468","Public district, 9-12","2,997"
10/10,High School Of American Studies At Lehman College,"2925 Goulden Avenue, Bronx, NY, 10468","Public district, 9-12",399
10/10,Icahn Charter School 2,"1640 Bronxdale Avenue, Bronx, NY, 10462","Public charter, K-8",320
10/10,Success Academy Bronx 2,"450 Saint Pauls Place, Bronx, NY, 10456","Public charter, K-8",789
10/10,Icahn Charter School 5,"1500 Pelham Parkway South, Bronx, NY, 10461","Public charter, K-8",314
10/10,Success Academy Bronx 4,"885 Bolton Avenue, Bronx, NY, 10473","Public charter, K-4",524
9/10,Ps 304 Early Childhood School,"2750 Lafayette Avenue, Bronx, NY, 10465","Public district, PK-5",506
9/10,School For Inquiry And Social Justice,"1025 Morrison Avenue, Bronx, NY, 10472","Public district, 6-8",523
9/10,South Bronx Classical Charter School,"977 Fox Street, Bronx, NY, 10459","Public charter, K-8",497
9/10,Academic Leadership Charter School,"677 East 141st Street, Bronx, NY, 10454","Public charter, K-8",506
9/10,Icahn Charter School 3,"1500 Pelham Parkway South, Bronx, NY, 10461","Public charter, K-8",320
9/10,Success Academy Bronx 1,"339 Morris Avenue, Bronx, NY, 10451","Public charter, K-8",702
9/10,University Heights Secondary School-Bronx Community College,"701 Saint Ann's Avenue, Bronx, NY, 10455","Public district, 9-12",486
9/10,Carl C. Icahn Charter School 4,"1500 Pelham Parkway South, Bronx, NY, 10461","Public charter, K-8",320
9/10,South Bronx Classical Charter Ii,"977 Fox Street, Bronx, NY, 10459","Public charter, K-5",314
9/10,Walton Avenue School (The),"1425 Walton Avenue, Bronx, NY, 10452","Public district, K-5",519
8/10,Ps 19 Judith K Weiss,"4318 Katonah Avenue, Bronx, NY, 10470","Public district, K-8",511
8/10,Ps 24 Spuyten Duyvil,"660 West 236th Street, Bronx, NY, 10463","Public district, K-5",907
8/10,Ps 69 Journey Prep,"560 Thieriot Avenue, Bronx, NY, 10473","Public district, PK-5",609
8/10,Ps 81 Robert J Christen,"5550 Riverdale Avenue, Bronx, NY, 10471","Public district, K-5",725
8/10,Ms 101 Edward R Byrne,"2750 Lafayette Avenue, Bronx, NY, 10465","Public district, 6-8",529
8/10,Bronx Charter School For Better Learning,"3740 Baychester Avenue, Bronx, NY, 10466","Public charter, K-5",537
8/10,Jonas Bronck Academy,"400 East Fordham Road, Bronx, NY, 10458","Public district, 6-8",268
8/10,Mott Hall III,"580 Crotona Park South, Bronx, NY, 10456","Public district, 6-8",364
8/10,Bronx Charter School For Excellence,"1960 Benedict Avenue, Bronx, NY, 10462","Public charter, K-8",766
8/10,Success Acad Charter School-Manhattan 3,"1000 Teller Avenue, Bronx, NY, 10456","Public charter, K-5",516
8/10,Icahn Charter School 6,"1701 Fulton Avenue, Bronx, NY, 10457","Public charter, K-7",333
8/10,Children's Aid College Prep Charter School,"1919 Prospect Avenue, Bronx, NY, 10457","Public charter, K-6",504
8/10,Concourse Village Elementary School,"750 Concourse Village West, Bronx, NY, 10451","Public district, PK-5",350
8/10,Family Life Academy Charter School Iii,"370 Gerard Avenue, Bronx, NY, 10451","Public charter, K-4",252
7/10,Ps 15 Institute For Environmental Learning,"2195 Andrews Avenue North, Bronx, NY, 10453","Public district, K-8",484
