10/10,Beacon High School,"522 West 44th Street, New York, NY, 10036","Public district, 9-12","1,380"
10/10,Ps 6 Lillie D Blake,"45 East 81st Street, New York, NY, 10028","Public district, PK-5",688
10/10,P.S. 40 Augustus St.-Gaudens,"320 East 20th Street, New York, NY, 10003","Public district, PK-5",679
10/10,Jhs 54 Booker T Washington,"103 West 107th Street, New York, NY, 10025","Public district, 6-8",851
10/10,Ps 59 Beekman Hill International,"231 East 56th Street, New York, NY, 10022","Public district, PK-5",611
10/10,Ps 110 Florence Nightingale,"285 Delancey Street, New York, NY, 10002","Public district, PK-5",379
10/10,Ps 130 Hernando De Soto,"143 Baxter Street, New York, NY, 10013","Public district, PK-5",912
10/10,Ps 150,"334 Greenwich Street, New York, NY, 10013","Public district, PK-5",188
10/10,Jhs 167 Robert F Wagner,"220 East 76th Street, New York, NY, 10021","Public district, 6-8","1,335"
10/10,Ps 183 Robert L Stevenson,"419 East 66th Street, New York, NY, 10065","Public district, PK-5",589
10/10,Stuyvesant High School,"345 Chambers Street, New York, NY, 10282","Public district, 9-12","3,334"
10/10,Ps 89,"201 Warren Street, New York, NY, 10282","Public district, PK-5",432
10/10,Ps 234 Independence School,"292 Greenwich Street, New York, NY, 10007","Public district, K-5",642
10/10,Ps 77 Lower Lab School,"1700 3rd Avenue, New York, NY, 10128","Public district, K-5",357
10/10,Ms 255 Salk School Of Science,"320 East 20th Street, New York, NY, 10003","Public district, 6-8",387
10/10,East Side Middle School,"331 East 91st Street, New York, NY, 10128","Public district, 6-8",449
10/10,Eleanor Roosevelt High School,"411 East 76th Street, New York, NY, 10021","Public district, 9-12",538
10/10,Millennium High School,"75 Broad Street, New York, NY, 10004","Public district, 9-12",668
10/10,Ballet Tech Nyc Ps For Dance,"890 Broadway, New York, NY, 10003","Public district, 4-8",139
10/10,High School For Dual Language And Asian Studies,"350 Grand Street, New York, NY, 10002","Public district, 9-12",396
10/10,Tag Young Scholars,"240 East 109th Street, New York, NY, 10029","Public district, K-8",576
10/10,High School Math Science And Engineering At Ccny,"240 Convent Avenue, New York, NY, 10031","Public district, 9-12",500
10/10,Battery Park City School,"55 Battery Place, New York, NY, 10280","Public district, K-8",822
10/10,Spruce Street School,"12 Spruce Street, New York, NY, 10038","Public district, PK-8",539
10/10,Success Academy Charter School-Harlem 2,"144 East 128th Street, New York, NY, 10035","Public charter, K-4",755
10/10,Ps 452,"210 West 61st Street, New York, NY, 10023","Public district, PK-5",329
10/10,"East Side Elementary School, PS 267","213 East 63rd Street, New York, NY, 10065","Public district, K-5",397
10/10,P.S. 527 East Side School-Social Actio,"323 East 91st Street, New York, NY, 10128","Public district, K-5",384
10/10,Success Academy Hell's Kitchen,"439 West 49th Street, New York, NY, 10019","Public charter, K-4",481
10/10,Success Academy Charter - Washington Hgts,"701 Fort Washington Avenue, New York, NY, 10040","Public charter, K-4",517
9/10,Manhattan Village Academy,"43 West 22nd Street, New York, NY, 10010","Public district, 9-12",455
9/10,Ps 290 Manhattan New School,"311 East 82nd Street, New York, NY, 10028","Public district, PK-5",628
9/10,Ps 9 Sarah Anderson,"100 West 84th Street, New York, NY, 10024","Public district, PK-5",618
9/10,P.S. 41 Greenwich Village,"116 West 11th Street, New York, NY, 10011","Public district, PK-5",692
9/10,Ps 42 Benjamin Altman,"71 Hester Street, New York, NY, 10002","Public district, PK-5",655
9/10,Ps 87 William Sherman,"160 West 78th Street, New York, NY, 10024","Public district, PK-5",881
9/10,Ps 124 Yung Wing,"40 Division Street, New York, NY, 10002","Public district, PK-5",725
9/10,P.S. 158 Baylard Taylor,"1458 York Avenue, New York, NY, 10075","Public district, PK-5",787
9/10,Ps 171 Patrick Henry,"19 East 103rd Street, New York, NY, 10029","Public district, PK-8",722
9/10,Ps 199 Jessie Isador Straus,"270 West 70th Street, New York, NY, 10023","Public district, K-5",851
9/10,"New Explorations Into Science, Tech and Math High School","111 Columbia Street, New York, NY, 10002","Public district, K-12","1,729"
9/10,Is 289,"201 Warren Street, New York, NY, 10282","Public district, 6-8",283
9/10,"Fiorello H Laguardia High School of Music, Art and Performing Arts","100 Amsterdam Avenue, New York, NY, 10023","Public district, 9-12","2,819"
9/10,The Mott Hall School,"71 Convent Avenue, New York, NY, 10027","Public district, 6-8",292
9/10,Ps 184 Shuang Wen,"327 Cherry Street, New York, NY, 10002","Public district, PK-8",682
9/10,Ms 243 Center School,"100 West 84th Street, New York, NY, 10024","Public district, 5-8",235
9/10,Ms 245 The Computer School,"100 West 77th Street, New York, NY, 10024","Public district, 6-8",400
9/10,Ps 212 Midtown West,"328 West 48th Street, New York, NY, 10036","Public district, PK-5",368
9/10,Lower Manhattan Community Middle School,"26 Broadway, New York, NY, 10004","Public district, 6-8",383
9/10,Nyc Lab Ms For Collaborative Studies,"333 West 17th Street, New York, NY, 10011","Public district, 6-8",554
9/10,Manhattan/Hunter Science High School,"122 Amsterdam Avenue, New York, NY, 10023","Public district, 9-12",441
9/10,The Anderson School,"100 West 77th Street, New York, NY, 10024","Public district, K-8",539
9/10,Bard High School Early College,"525 East Houston Street, New York, NY, 10002","Public district, 9-12",589
9/10,Baruch College Campus High School,"55 East 25th Street, New York, NY, 10010","Public district, 9-12",459
9/10,Mott Hall Ii,"234 West 109th Street, New York, NY, 10025","Public district, 6-8",341
9/10,Muscota,"4862 Broadway, New York, NY, 10034","Public district, K-5",292
9/10,YORKVILLE EAST MIDDLE SCHOOL,"1458 York Avenue, New York, NY, 10075","Public district, 6-8",233
9/10,Success Academy Harlem 1,"34 West 118th Street, New York, NY, 10026","Public charter, K-4","1,184"
9/10,Columbia Secondary School,"425 West 123rd Street, New York, NY, 10027","Public district, 6-12",703
9/10,Washington Heights Academy,"202 Sherman Avenue, New York, NY, 10034","Public district, PK-8",575
9/10,Nyc Ischool,"131 6th Avenue, New York, NY, 10013","Public district, 9-12",458
9/10,Special Music School,"129 West 67th Street, New York, NY, 10023","Public district, K-12",313
9/10,Success Academy Charter School-Harlem 4,"240 West 113th Street, New York, NY, 10026","Public charter, K-4",580
9/10,Success Academy Charter School-Harlem 3,"410 East 100th Street, New York, NY, 10029","Public charter, K-4",941
9/10,Success Academy Charter School-Harlem 5,"301 W 140th St, New York, NY, 10030","Public charter, K-4",806
9/10,Success Academy Upper West,"145 West 84th Street, New York, NY, 10024","Public charter, K-7",737
9/10,Peck Slip School (The),"1 Peck Slip, New York, NY, 10038","Public district, PK-5",438
9/10,Success Academy Union Square,"40 Irving Place, New York, NY, 10003","Public charter, K-4",621
8/10,Ps 3 Charrette School,"490 Hudson Street, New York, NY, 10014","Public district, PK-5",753
8/10,P.S. 51 Elias Howe,"525 West 44th Street, New York, NY, 10036","Public district, PK-5",457
8/10,S.T.A.R. Academy - PS 63,"121 East 3rd Street, New York, NY, 10009","Public district, PK-5",201
8/10,Ps 125 Ralph Bunche,"425 West 123rd Street, New York, NY, 10027","Public district, PK-5",299
8/10,Ps 163 Alfred E Smith,"163 West 97th Street, New York, NY, 10025","Public district, PK-5",563
8/10,Ps 166 The Richard Rogers School Of The Arts And S,"132 West 89th Street, New York, NY, 10024","Public district, K-5",649
8/10,Nyc Lab High School For Collaborative Studies,"333 West 17th Street, New York, NY, 10011","Public district, 9-12",496
8/10,School Of The Future High School,"127 East 22nd Street, New York, NY, 10010","Public district, 6-12",744
8/10,Nyc Museum School,"333 West 17th Street, New York, NY, 10011","Public district, 9-12",448
8/10,Ps Is 217 Roosevelt Island,"645 Main Street, New York, NY, 10044","Public district, PK-8",621
8/10,Jhs 104 Simon Baruch,"330 East 21st Street, New York, NY, 10010","Public district, 6-8","1,114"
8/10,Ms 260 Clinton School Writers And Artists,"10 East 15th Street, New York, NY, 10003","Public district, 6-11",605
8/10,Girls Prep Lower East Side,"442 East Houston Street, New York, NY, 10002","Public charter, K-8",368
8/10,Manhattan Charter School,"100 Attorney Street, New York, NY, 10002","Public charter, K-5",262
8/10,Harlem Children S Zone Promise Academy Ii Charter,"35 East 125th Street, New York, NY, 10035","Public charter, K-12","1,002"
8/10,Harlem Children's Zone Promise Academy Charter School,"245 West 129th Street, New York, NY, 10027","Public charter, K-12","1,154"
8/10,Kipp Infinity Charter School,"625 West 133rd Street, New York, NY, 10027","Public charter, K-12","1,136"
8/10,Dream Charter School,"1991 2nd Avenue, New York, NY, 10029","Public charter, K-9",642
8/10,KIPP NYC WASHINGTON HEIGHTS CHARTER,"21 Jumel Place, New York, NY, 10032","Public charter, K-10",989
8/10,River School (The),"425 East 35th Street, New York, NY, 10016","Public district, PK-4",273
7/10,Central Park East High School,"1573 Madison Avenue, New York, NY, 10029","Public district, 9-12",493
7/10,Talent Unlimited High School,"300 East 68th Street, New York, NY, 10065","Public district, 9-12",480
7/10,Professional Performing Arts High School,"328 West 48th Street, New York, NY, 10036","Public district, 6-12",562
7/10,Ps 1 Alfred E Smith,"8 Henry Street, New York, NY, 10038","Public district, PK-5",318
7/10,Ps 2 Meyer London,"122 Henry Street, New York, NY, 10002","Public district, PK-5",550
7/10,Ps 11 William T Harris,"320 West 21st Street, New York, NY, 10011","Public district, PK-5",920
7/10,Ps 19 Asher Levy,"185 1st Avenue, New York, NY, 10003","Public district, PK-5",258
7/10,Ps 33 Chelsea Prep,"281 9th Avenue, New York, NY, 10001","Public district, PK-5",628
7/10,Ps 75 Emily Dickinson,"735 West End Avenue, New York, NY, 10025","Public district, K-5",562
7/10,Ps 116 Mary Lindley Murray,"210 East 33rd Street, New York, NY, 10016","Public district, PK-6",545
7/10,Ps 126 Jacob August Riis,"80 Catherine Street, New York, NY, 10038","Public district, PK-8",783
7/10,Ps 198 Isador E Ida Straus,"1700 3rd Avenue, New York, NY, 10128","Public district, PK-5",461
7/10,Young Women's Leadership School,"105 East 106th Street, New York, NY, 10029","Public district, 6-12",483
7/10,Ella Baker School,"317 East 67th Street, New York, NY, 10065","Public district, PK-8",321
7/10,Ms 131,"100 Hester Street, New York, NY, 10002","Public district, 6-8",431
7/10,Manhattan Center for Science & Mathematics,"260 Pleasant Avenue, New York, NY, 10029","Public district, 9-12","1,627"
7/10,Ms 247 Dual Language Middle School,"100 West 77th Street, New York, NY, 10024","Public district, 6-8",198
7/10,Community Action School Ms 258,"154 West 93rd Street, New York, NY, 10025","Public district, 6-8",222
7/10,Ps 333 Manhattan School For Children,"154 West 93rd Street, New York, NY, 10025","Public district, K-8",755
7/10,Sisulu Walker Charter School Of Harlem,"125 West 115th Street, New York, NY, 10026","Public charter, K-5",220
7/10,The East Village Community School,"610 East 12th Street, New York, NY, 10009","Public district, PK-5",314
7/10,Amber Charter School,"220 East 106th Street, New York, NY, 10029","Public charter, K-5",497
7/10,KIPP S.T.A.R. Charter School,"433 West 123rd Street, New York, NY, 10027","Public charter, K-3, 5-12",922
7/10,City College Academy Of The Arts,"4600 Broadway, New York, NY, 10040","Public district, 6-12",600
7/10,47 the American Sign Language and English Lower School,"223 East 23rd Street, New York, NY, 10010","Public district, PK-8",195
7/10,River East Elementary School,"2351 1st Avenue, New York, NY, 10035","Public district, PK-5",189
7/10,Paula Hedbavny School,"421 West 219th Street, New York, NY, 10034","Public district, K-8",558
7/10,Democracy Preparatory Charter School,"2230 5th Avenue, New York, NY, 10037","Public charter, 6-12",691
7/10,The Equity Project Charter School,"549 Audubon Avenue, New York, NY, 10040","Public charter, K-1, 5-8",720
7/10,Democracy Prep Endurance Charter School,"250 West 127th Street, New York, NY, 10027","Public charter, 6-11",440
7/10,Neighborhood Charter School of Harlem,"132 West 124th Street, New York, NY, 10027","Public charter, K-6",465
7/10,West End Secondary School,"227 West 61st Street, New York, NY, 10023","Public district, 6-8",339
6/10,Park East High School,"230 East 105th Street, New York, NY, 10029","Public district, 9-12",400
6/10,East Side Community School,"420 East 12th Street, New York, NY, 10009","Public district, 6-12",678
6/10,Ps 7 Samuel Stern,"160 East 120th Street, New York, NY, 10035","Public district, PK-8",356
6/10,Ps 15 Roberto Clemente,"333 East 4th Street, New York, NY, 10009","Public district, PK-5",191
6/10,Ps 153 Adam Clayton Powell,"1750 Amsterdam Avenue, New York, NY, 10031","Public district, PK-5",590
6/10,Ps 173,"306 Fort Washington Avenue, New York, NY, 10033","Public district, PK-5",484
6/10,Ps Is 187 Hudson Cliffs,"349 Cabrini Boulevard, New York, NY, 10040","Public district, PK-8",794
6/10,Ps 192 Jacob H Schiff,"500 West 138th Street, New York, NY, 10031","Public district, PK-5",442
6/10,The Children's Workshop School,"610 East 12th Street, New York, NY, 10009","Public district, PK-5",318
6/10,Tompkins Square Middle School,"600 East 6th Street, New York, NY, 10009","Public district, 6-8",376
6/10,Ps 92 Mary Mcleod Bethune,"222 West 134th Street, New York, NY, 10030","Public district, PK-5",263
6/10,Ms 319 Marie Teresa,"21 Jumel Place, New York, NY, 10032","Public district, 6-8",421
6/10,Frank Mccourt High School,"145 West 84th Street, New York, NY, 10024","Public district, 9-12",410
6/10,Democracy Prep Harlem Charter School,"207 West 133rd Street, New York, NY, 10030","Public charter, K-4, 6-12",930
6/10,Great Oaks Charter School,"38 Delancey Street-3rd Fl, New York, NY, 10002","Public charter, 6-8",215
6/10,Harlem Hebrew Language Academy,"147 Saint Nicholas Avenue, New York, NY, 10026","Public charter, K-5",388
