10/10,Ps 41 Crocheron,"214-43 35th Avenue, Queens, NY, 11361","Public district, K-5",488
10/10,Ps 79 Francis Lewis,"147-27 15th Drive, Queens, NY, 11357","Public district, PK-5","1,133"
10/10,Ps 94 David D Porter,"41-77 Little Neck Parkway, Queens, NY, 11363","Public district, K-5",326
10/10,Ps 184 Flushing Manor,"163-15 21st Road, Queens, NY, 11357","Public district, PK-5",513
10/10,Ps 186 Castlewood,"252-12 72nd Avenue, Queens, NY, 11426","Public district, PK-5",384
10/10,Ps 193 Alfred J Kennedy,"152-20 11th Avenue, Queens, NY, 11357","Public district, PK-5",590
10/10,Ps 196 Grand Central Parkway,"71-25 113th Street, Queens, NY, 11375","Public district, PK-5",996
10/10,Ps 203 Oakland Gardens,"53-11 Springfield Boulevard, Queens, NY, 11364","Public district, PK-5",936
10/10,Ps 205 Alexander Graham Bell,"75-25 Bell Boulevard, Queens, NY, 11364","Public district, PK-5",327
10/10,Jhs 216 George J Ryan,"64-20 175th Street, Queens, NY, 11365","Public district, 6-8","1,458"
10/10,Ps 221 The North Hills School,"57-40 Marathon Parkway, Queens, NY, 11362","Public district, PK-5",626
10/10,I.S. 227 Louis Armstrong Intermediate School,"32-02 Junction Boulevard, Queens, NY, 11369","Public district, 5-8","1,583"
10/10,Townsend Harris High School,"149-11 Melbourne Avenue, Queens, NY, 11367","Public district, 9-12","1,144"
10/10,Queens College School For Math Science And Techno,"148-20 Reeves Avenue, Queens, NY, 11367","Public district, PK-8",496
10/10,Queens High School For The Sciences At York Colleg,"94-50 159th Street, Queens, NY, 11433","Public district, 9-12",474
10/10,The Active Learning Elementary School,"137-20 Franklin Avenue, Queens, NY, 11355","Public district, PK-3",460
10/10,Success Academy Rosedale,"147-65 249th Street, Queens, NY, 11422","Public charter, K-4",505
9/10,Is 25 Adrien Block,"34-65 192nd Street, Queens, NY, 11358","Public district, 6-8","1,027"
9/10,Is 237,"46-21 Colden Street, Queens, NY, 11355","Public district, 6-8","1,363"
9/10,Ps 24 Andrew Jackson,"45-57 Union Street, Queens, NY, 11355","Public district, K-5","1,068"
9/10,Ps 26 Rufus King,"195-02 69th Avenue, Queens, NY, 11365","Public district, PK-5",705
9/10,Ps 47 Chris Galas,"9 Power Road, Queens, NY, 11693","Public district, PK-8",218
9/10,Jhs 74 Nathaniel Hawthorne,"61-15 Oceania Street, Queens, NY, 11364","Public district, 6-8","1,157"
9/10,Ps 113 Isaac Chauncey,"78-23 87th Street, Queens, NY, 11385","Public district, K-8",895
9/10,P.S. 115 Glen Oaks,"80-51 261st Street, Queens, NY, 11004","Public district, PK-5",704
9/10,"P.S. 128 the Lorraine Tuzzo, Juniper Valley Elementary School","69-10 65th Drive, Queens, NY, 11379","Public district, K-8",970
9/10,Ps 133,"248-5 86th Avenue, Queens, NY, 11426","Public district, PK-5",555
9/10,Is 141 The Steinway,"37-11 21st Avenue, Queens, NY, 11105","Public district, 6-8","1,111"
9/10,Jhs 157 Stephen A Halsey,"63-55 102nd Street, Queens, NY, 11374","Public district, 6-9","1,632"
9/10,Ms 158 Marie Curie,"46-35 Oceania Street, Queens, NY, 11361","Public district, 6-8","1,058"
9/10,Ps 159,"205-01 33rd Avenue, Queens, NY, 11361","Public district, PK-5",680
9/10,Ps 162 John Golden,"201-2 53rd Avenue, Queens, NY, 11364","Public district, PK-5",676
9/10,Ps 163 Flushing Heights,"159-01 59th Avenue, Queens, NY, 11365","Public district, PK-5",800
9/10,Ps 173 Fresh Meadow,"174-10 67th Avenue, Queens, NY, 11365","Public district, PK-5",949
9/10,Jhs 185 Edward Bleeker,"147-26 25th Drive, Queens, NY, 11354","Public district, 6-8","1,523"
9/10,Ps 188 Kingsbury,"218-12 Hartland Avenue, Queens, NY, 11364","Public district, PK-5",731
9/10,Ps 213 The Carl Ullman School,"231-02 67th Avenue, Queens, NY, 11364","Public district, PK-5",466
9/10,Ps 214 Cadwallader Colden,"31-15 140th Street, Queens, NY, 11354","Public district, PK-5",537
9/10,Is 5 The Walter Crowley Intermediate School,"50-40 Jacobus Street, Queens, NY, 11373","Public district, 6-8","1,796"
9/10,P.S. 78,"48-9 Center Boulevard, Queens, NY, 11109","Public district, PK-8",704
9/10,P.S. 130,"200-01 42nd Avenue, Queens, NY, 11361","Public district, PK-4",396
9/10,Is 230,"73-10 34th Avenue, Queens, NY, 11372","Public district, 6-8","1,291"
9/10,Ps 242 Leonard P Stavisky Early Childhood School,"29-66 137th Street, Queens, NY, 11354","Public district, PK-3",394
9/10,Ps Is 266,"74-10 Commonwealth Boulevard, Queens, NY, 11426","Public district, PK-8",644
9/10,Scholars Academy,"320 Beach 104th Street, Queens, NY, 11694","Public district, 6-12","1,375"
9/10,Baccalaureate School for Global Education,"34-12 36th Avenue, Queens, NY, 11106","Public district, 7-12",539
9/10,Bell Academy,"18-25 212th Street, Queens, NY, 11360","Public district, 6-8",374
9/10,Bard High School Early College Queens,"30-20 Thomson Avenue, Queens, NY, 11101","Public district, 9-12",622
9/10,Central Queens Academy Charter School,"55-30 Junction Boulevard, Queens, NY, 11373","Public charter, 5-8",403
9/10,30TH AVENUE SCHOOL (THE),"28-37 29th Street, Queens, NY, 11102","Public district, K-4, 6-8",444
8/10,Queens Gateway To Health Sciences Secondary School,"160-20 Goethals Avenue, Queens, NY, 11432","Public district, 6-12",690
8/10,Ps 2 Alfred Zimberg,"75-10 21st Avenue, Queens, NY, 11370","Public district, K-5",565
8/10,Ps 11 Kathryn Phelan,"54-25 Skillman Avenue, Queens, NY, 11377","Public district, K-6","1,024"
8/10,Ps 18 Winchester,"86-35 235th Court, Queens, NY, 11427","Public district, PK-5",620
8/10,Ps 20 John Bowne,"142-30 Barclay Avenue, Queens, NY, 11355","Public district, PK-5","1,311"
8/10,Ps 22 Thomas Jefferson,"153-33 Sanford Avenue, Queens, NY, 11355","Public district, PK-5",920
8/10,Ps 31 Bayside,"211-45 46th Road, Queens, NY, 11361","Public district, PK-5",524
8/10,Ps 46 Alley Pond,"64-45 218th Street, Queens, NY, 11364","Public district, PK-5",555
8/10,Ps 49 Dorothy Bonawit Kole,"63-60 80th Street, Queens, NY, 11379","Public district, K-8","1,156"
8/10,Ps 66 Jacqueline Kennedy Onassis,"85-11 102nd Street, Queens, NY, 11418","Public district, PK-5",496
8/10,Jhs 67 Louis Pasteur,"51-60 Marathon Parkway, Queens, NY, 11362","Public district, 6-8",894
8/10,Ps 69 Jackson Heights,"77-02 37th Avenue, Queens, NY, 11372","Public district, PK-5","1,039"
