10/10,Ps 5 Huguenot,"348 Deisius Street, Staten Island, NY, 10312","Public district, K-5",300
10/10,Ps 35 The Clove Valley School,"60 Foote Avenue, Staten Island, NY, 10301","Public district, K-5",393
10/10,Staten Island Technical High School,"485 Clawson Street, Staten Island, NY, 10306","Public district, 9-12","1,320"
9/10,Is 7 Elias Bernstein,"1270 Huguenot Avenue, Staten Island, NY, 10312","Public district, 6-8","1,166"
9/10,Is 34 Tottenville,"528 Academy Avenue, Staten Island, NY, 10307","Public district, 6-8","1,090"
9/10,Ps 23 Richmondtown,"30 Natick Street, Staten Island, NY, 10306","Public district, PK-5",562
9/10,Ps 26 The Carteret School,"4108 Victory Boulevard, Staten Island, NY, 10314","Public district, PK-5",264
9/10,Is 75 Frank D Paulo,"455 Huguenot Avenue, Staten Island, NY, 10312","Public district, 6-8","1,368"
8/10,Is 72 Rocco Laurie,"33 Ferndale Avenue, Staten Island, NY, 10314","Public district, 6-8","1,407"
8/10,Ps 29 Bardwell,"1581 Victory Boulevard, Staten Island, NY, 10314","Public district, PK-5",642
8/10,Ps 32 The Gifford School,"32 Elverton Avenue, Staten Island, NY, 10308","Public district, PK-5",675
8/10,Ps 36 J C Drumgoole,"255 Ionia Avenue, Staten Island, NY, 10312","Public district, PK-5",858
8/10,Ps 50 Frank Hankinson,"200 Adelaide Avenue, Staten Island, NY, 10306","Public district, PK-5",773
8/10,Ps 53 Bay Terrace,"330 Durant Avenue, Staten Island, NY, 10308","Public district, PK-5",830
8/10,Ps 54 Charles W Leng,"1060 Willowbrook Road, Staten Island, NY, 10314","Public district, PK-5",808
8/10,Ps 56 The Louis Desario School,"250 Kramer Avenue, Staten Island, NY, 10309","Public district, PK-5",604
8/10,Csi High School For International Studies,"100 Essex Drive, Staten Island, NY, 10314","Public district, 9-12",492
8/10,Marsh Avenue School For Expeditionary Learning,"100 Essex Drive, Staten Island, NY, 10314","Public district, 6-8",459
7/10,Ps 3 The Margaret Gioiosa School,"80 South Goff Avenue, Staten Island, NY, 10309","Public district, PK-5",793
7/10,Ps 4 Maurice Wollin,"200 Nedra Lane, Staten Island, NY, 10312","Public district, PK-5",744
7/10,Ps 8 Shirlee Solomon,"112 Lindenwood Road, Staten Island, NY, 10308","Public district, PK-5",602
7/10,Is 24 Myra S Barnes,"225 Cleveland Avenue, Staten Island, NY, 10308","Public district, 6-8","1,264"
7/10,Ps 30 Westerleigh,"200 Wardwell Avenue, Staten Island, NY, 10314","Public district, PK-5",827
7/10,Ps 41 New Dorp,"216 Clawson Street, Staten Island, NY, 10306","Public district, PK-5",678
7/10,Ps 48 William C Wilcox,"1050 Targee Street, Staten Island, NY, 10304","Public district, PK-8",982
7/10,Ps 52 John C Thompson,"450 Buel Avenue, Staten Island, NY, 10305","Public district, PK-5",524
7/10,Ps 6 Cpl Allan F Kivlehan School,"555 Page Avenue, Staten Island, NY, 10307","Public district, PK-5",541
7/10,Staten Island School Of Civic Leadership,"280 Regis Drive, Staten Island, NY, 10314","Public district, PK-8",897
7/10,Naples Street Elementary School,"1055 Targee Street, Staten Island, NY, 10304","Public district, PK-4",298
6/10,Ps 1 Tottenville,"58 Summit Street, Staten Island, NY, 10307","Public district, PK-5",465
6/10,Is 2 George L Egbert,"333 Midland Avenue, Staten Island, NY, 10306","Public district, 6-8",973
6/10,Ps 11 Thomas Dongan School,"50 Jefferson Street, Staten Island, NY, 10304","Public district, PK-5",316
6/10,Ps 13 M L Lindenmeyer,"191 Vermont Avenue, Staten Island, NY, 10305","Public district, PK-5",866
6/10,Is 27 Anning S Prall,"11 Clove Lake Place, Staten Island, NY, 10310","Public district, 6-8","1,001"
6/10,Ps 42 Eltingville,"380 Genesee Avenue, Staten Island, NY, 10312","Public district, PK-5","1,036"
6/10,Ps 55 Henry M Boehm,"54 Osborne Street, Staten Island, NY, 10312","Public district, PK-5",602
6/10,Ps 69 Daniel D Tompkins,"144 Keating Place, Staten Island, NY, 10314","Public district, PK-5",936
6/10,Space Shuttle Columbia School,"77 Marsh Avenue, Staten Island, NY, 10314","Public district, PK-5",692
6/10,P.S. 65 the Academy of Innovative Learning,"98 Grant Street, Staten Island, NY, 10301","Public district, PK-5",428
6/10,New World Preparatory Charter School,"26 Sharpe Avenue, Staten Island, NY, 10302","Public charter, 6-8",379
5/10,Is 61 William A Morris,"445 Castleton Avenue, Staten Island, NY, 10301","Public district, 6-8",982
5/10,Is 51 Edwin Markham,"20 Houston Street, Staten Island, NY, 10302","Public district, 6-8","1,311"
5/10,Ps 21 Margaret Emery Elm Park,"168 Hooker Place, Staten Island, NY, 10302","Public district, K-5",364
