10/10,Garden City High School,"170 Rockaway Avenue, Garden City, NY, 11530","Public district, 9-12","1,165"
10/10,Saddle Rock School,"10 Hawthorne Lane, Great Neck, NY, 11023","Public district, K-5",558
10/10,Purchase School,"2995 Purchase Street, Harrison, NY, 10577","Public district, K-5",315
10/10,Center Street School,"240 Center Street, Williston Park, NY, 11596","Public district, K-5",489
10/10,Briarwood School,"215 Briarwood Drive, Irondequoit, NY, 14617","Public district, K-3",170
10/10,George A Jackson School,"58 Maytime Drive, Jericho, NY, 11753","Public district, K-5",429
10/10,Jericho Middle School,"99 Cedar Swamp Road, Glen Head, NY, 11545","Public district, 6-8",771
10/10,Jericho Senior High School,"99 Cedar Swamp Road, Glen Head, NY, 11545","Public district, 9-12","1,124"
10/10,Robert Seaman Elementary School,"137 Leahy Street, Jericho, NY, 11753","Public district, K-5",292
10/10,Increase Miller Elementary School,"186 Waccabuc River Lane, South Salem, NY, 10590","Public district, K-5",461
10/10,Katonah Elementary School,"106 Huntville Road, Katonah, NY, 10536","Public district, K-5",418
10/10,Meadow Pond Elementary School,"185 Smith Ridge Road, South Salem, NY, 10590","Public district, K-5",347
10/10,Keene Central School,"33 Market Street, Keene Valley, NY, 12943","Public district, K-12",171
10/10,Murray Avenue School,"250 Murray Avenue, Larchmont, NY, 10538","Public district, K-5",754
10/10,Manor Oaks William Bowie School,"1950 Hillside Avenue, New Hyde Park, NY, 11040","Public district, K-6",331
10/10,Beacon High School,"522 West 44th Street, New York, NY, 10036","Public district, 9-12","1,380"
10/10,Bronx High School Of Science,"75 West 205th Street, Bronx, NY, 10468","Public district, 9-12","2,997"
10/10,Brooklyn Technical High School,"29 Fort Greene Place, Brooklyn, NY, 11217","Public district, 9-12","5,839"
10/10,Ps 5 Huguenot,"348 Deisius Street, Staten Island, NY, 10312","Public district, K-5",300
10/10,Ps 6 Lillie D Blake,"45 East 81st Street, New York, NY, 10028","Public district, PK-5",688
10/10,Ps 35 The Clove Valley School,"60 Foote Avenue, Staten Island, NY, 10301","Public district, K-5",393
10/10,P.S. 40 Augustus St.-Gaudens,"320 East 20th Street, New York, NY, 10003","Public district, PK-5",679
10/10,Ps 41 Crocheron,"214-43 35th Avenue, Queens, NY, 11361","Public district, K-5",488
10/10,Ms 51 William Alexander,"350 5th Avenue, Brooklyn, NY, 11215","Public district, 6-8","1,132"
10/10,Jhs 54 Booker T Washington,"103 West 107th Street, New York, NY, 10025","Public district, 6-8",851
10/10,Ps 59 Beekman Hill International,"231 East 56th Street, New York, NY, 10022","Public district, PK-5",611
10/10,Ps 79 Francis Lewis,"147-27 15th Drive, Queens, NY, 11357","Public district, PK-5","1,133"
10/10,Ps 94 David D Porter,"41-77 Little Neck Parkway, Queens, NY, 11363","Public district, K-5",326
10/10,Ps 105 The Blythebourne,"1031 59th Street, Brooklyn, NY, 11219","Public district, K-5","1,514"
10/10,Ps 107 John W Kimball,"1301 8th Avenue, Brooklyn, NY, 11215","Public district, K-5",566
10/10,Ps 110 Florence Nightingale,"285 Delancey Street, New York, NY, 10002","Public district, PK-5",379
10/10,Ps 130 Hernando De Soto,"143 Baxter Street, New York, NY, 10013","Public district, PK-5",912
10/10,Ps 150,"334 Greenwich Street, New York, NY, 10013","Public district, PK-5",188
10/10,Jhs 167 Robert F Wagner,"220 East 76th Street, New York, NY, 10021","Public district, 6-8","1,335"
10/10,P.S. 172 Beacon School Of Excellence,"825 4th Avenue, Brooklyn, NY, 11232","Public district, PK-5",590
10/10,Ps 183 Robert L Stevenson,"419 East 66th Street, New York, NY, 10065","Public district, PK-5",589
10/10,Ps 184 Flushing Manor,"163-15 21st Road, Queens, NY, 11357","Public district, PK-5",513
10/10,Ps 186 Castlewood,"252-12 72nd Avenue, Queens, NY, 11426","Public district, PK-5",384
10/10,Ps 193 Alfred J Kennedy,"152-20 11th Avenue, Queens, NY, 11357","Public district, PK-5",590
10/10,Ps 196 Grand Central Parkway,"71-25 113th Street, Queens, NY, 11375","Public district, PK-5",996
10/10,Jhs 201 The Dyker Heights,"8010 12th Avenue, Brooklyn, NY, 11228","Public district, 6-8","1,584"
10/10,Ps 203 Oakland Gardens,"53-11 Springfield Boulevard, Queens, NY, 11364","Public district, PK-5",936
10/10,Ps 205 Alexander Graham Bell,"75-25 Bell Boulevard, Queens, NY, 11364","Public district, PK-5",327
10/10,Jhs 216 George J Ryan,"64-20 175th Street, Queens, NY, 11365","Public district, 6-8","1,458"
10/10,Ps 221 The North Hills School,"57-40 Marathon Parkway, Queens, NY, 11362","Public district, PK-5",626
10/10,Ps 321 William Penn,"180 7th Avenue, Brooklyn, NY, 11215","Public district, K-5","1,417"
10/10,Stuyvesant High School,"345 Chambers Street, New York, NY, 10282","Public district, 9-12","3,334"
10/10,I.S. 98 Bay Academy,"1401 Emmons Avenue, Brooklyn, NY, 11235","Public district, 6-8","1,532"
10/10,I.S. 227 Louis Armstrong Intermediate School,"32-02 Junction Boulevard, Queens, NY, 11369","Public district, 5-8","1,583"
10/10,Ps 89,"201 Warren Street, New York, NY, 10282","Public district, PK-5",432
