,school,rating,type,students,grades,city,zip
0,Garden City High School,10,Public district,"1,165", 9-12, Garden City, 11530
1,Saddle Rock School,10,Public district,558, K-5, Great Neck, 11023
2,Purchase School,10,Public district,315, K-5, Harrison, 10577
3,Center Street School,10,Public district,489, K-5, Williston Park, 11596
4,Briarwood School,10,Public district,170, K-3, Irondequoit, 14617
5,George A Jackson School,10,Public district,429, K-5, Jericho, 11753
6,Jericho Middle School,10,Public district,771, 6-8, Glen Head, 11545
7,Jericho Senior High School,10,Public district,"1,124", 9-12, Glen Head, 11545
8,Robert Seaman Elementary School,10,Public district,292, K-5, Jericho, 11753
9,Increase Miller Elementary School,10,Public district,461, K-5, South Salem, 10590
10,Katonah Elementary School,10,Public district,418, K-5, Katonah, 10536
11,Meadow Pond Elementary School,10,Public district,347, K-5, South Salem, 10590
12,Keene Central School,10,Public district,171, K-12, Keene Valley, 12943
13,Murray Avenue School,10,Public district,754, K-5, Larchmont, 10538
14,Manor Oaks William Bowie School,10,Public district,331, K-6, New Hyde Park, 11040
15,Beacon High School,10,Public district,"1,380", 9-12, New York, 10036
16,Bronx High School Of Science,10,Public district,"2,997", 9-12, Bronx, 10468
17,Brooklyn Technical High School,10,Public district,"5,839", 9-12, Brooklyn, 11217
18,Ps 5 Huguenot,10,Public district,300, K-5, Staten Island, 10312
19,Ps 6 Lillie D Blake,10,Public district,688, PK-5, New York, 10028
20,Ps 35 The Clove Valley School,10,Public district,393, K-5, Staten Island, 10301
21,P.S. 40 Augustus St.-Gaudens,10,Public district,679, PK-5, New York, 10003
22,Ps 41 Crocheron,10,Public district,488, K-5, Queens, 11361
23,Ms 51 William Alexander,10,Public district,"1,132", 6-8, Brooklyn, 11215
24,Jhs 54 Booker T Washington,10,Public district,851, 6-8, New York, 10025
25,Ps 59 Beekman Hill International,10,Public district,611, PK-5, New York, 10022
26,Ps 79 Francis Lewis,10,Public district,"1,133", PK-5, Queens, 11357
27,Ps 94 David D Porter,10,Public district,326, K-5, Queens, 11363
28,Ps 105 The Blythebourne,10,Public district,"1,514", K-5, Brooklyn, 11219
29,Ps 107 John W Kimball,10,Public district,566, K-5, Brooklyn, 11215
30,Ps 110 Florence Nightingale,10,Public district,379, PK-5, New York, 10002
31,Ps 130 Hernando De Soto,10,Public district,912, PK-5, New York, 10013
32,Ps 150,10,Public district,188, PK-5, New York, 10013
33,Jhs 167 Robert F Wagner,10,Public district,"1,335", 6-8, New York, 10021
34,P.S. 172 Beacon School Of Excellence,10,Public district,590, PK-5, Brooklyn, 11232
35,Ps 183 Robert L Stevenson,10,Public district,589, PK-5, New York, 10065
36,Ps 184 Flushing Manor,10,Public district,513, PK-5, Queens, 11357
37,Ps 186 Castlewood,10,Public district,384, PK-5, Queens, 11426
38,Ps 193 Alfred J Kennedy,10,Public district,590, PK-5, Queens, 11357
39,Ps 196 Grand Central Parkway,10,Public district,996, PK-5, Queens, 11375
40,Jhs 201 The Dyker Heights,10,Public district,"1,584", 6-8, Brooklyn, 11228
41,Ps 203 Oakland Gardens,10,Public district,936, PK-5, Queens, 11364
42,Ps 205 Alexander Graham Bell,10,Public district,327, PK-5, Queens, 11364
43,Jhs 216 George J Ryan,10,Public district,"1,458", 6-8, Queens, 11365
44,Ps 221 The North Hills School,10,Public district,626, PK-5, Queens, 11362
45,Ps 321 William Penn,10,Public district,"1,417", K-5, Brooklyn, 11215
46,Stuyvesant High School,10,Public district,"3,334", 9-12, New York, 10282
47,I.S. 98 Bay Academy,10,Public district,"1,532", 6-8, Brooklyn, 11235
48,I.S. 227 Louis Armstrong Intermediate School,10,Public district,"1,583", 5-8, Queens, 11369
49,Ps 89,10,Public district,432, PK-5, New York, 10282
50,Ps 234 Independence School,10,Public district,642, K-5, New York, 10007
51,Townsend Harris High School,10,Public district,"1,144", 9-12, Queens, 11367
52,Prospect Hill School,10,Public district,317, K-5, Pelham Manor, 10803
53,Cobbles Elementary School,10,Public district,522, K-5, Penfield, 14526
54,Pittsford Mendon High School,10,Public district,"1,017", 9-12, Pittsford, 14534
55,Mendon Center Elementary School,10,Public district,738, K-5, Pittsford, 14534
56,Blind Brook High School,10,Public district,498, 9-12, Rye Brook, 10573
57,Harbor Hill School,10,Public district,494, PK-5, Greenvale, 11548
58,Roslyn Middle School,10,Public district,756, 6-8, Roslyn Heights, 11577
59,Greenacres School,10,Public district,369, K-5, Scarsdale, 10583
60,Heathcote School,10,Public district,391, K-5, Scarsdale, 10583
61,Scarsdale Senior High School,10,Public district,"1,517", 9-12, Scarsdale, 10583
62,Glen Head Elementary School,10,Public district,346, K-5, Glen Head, 11545
63,Glenwood Landing Elementary School,10,Public district,442, K-5, Glen Head, 11545
64,North Shore Middle School,10,Public district,620, 6-8, Glenwood Landing, 11547
