,school,rating,type,students,grades,city,zip,state,zipcode,returns,single_returns,joint_returns,hoh_returns,agi,total_income,educator_expense_amount,returns_itemized,charitable_contributions
0,Garden City High School,10,Public district,"1,165", 9-12, Garden City,11530,NY,11530.0,14650.0,6910.0,6760.0,660.0,3809585.0,3866878.0,202.0,9500.0,118534.0
1,Saddle Rock School,10,Public district,558, K-5, Great Neck,11023,NY,11023.0,4090.0,1710.0,2050.0,240.0,804629.0,821801.0,31.0,2530.0,21324.0
2,Purchase School,10,Public district,315, K-5, Harrison,10577,NY,10577.0,1550.0,760.0,670.0,70.0,1529377.0,1542695.0,12.0,920.0,53692.0
3,Center Street School,10,Public district,489, K-5, Williston Park,11596,NY,11596.0,5470.0,2570.0,2450.0,330.0,693248.0,704030.0,87.0,3120.0,11744.0
4,Briarwood School,10,Public district,170, K-3, Irondequoit,14617,NY,14617.0,12300.0,6200.0,4590.0,1250.0,782001.0,793421.0,184.0,5030.0,13588.0
5,George A Jackson School,10,Public district,429, K-5, Jericho,11753,NY,11753.0,6550.0,2710.0,3350.0,360.0,1518995.0,1547379.0,55.0,4090.0,27026.0
6,Jericho Middle School,10,Public district,771, 6-8, Glen Head,11545,NY,11545.0,6010.0,2810.0,2790.0,310.0,1996087.0,2029149.0,79.0,3690.0,40803.0
7,Jericho Senior High School,10,Public district,"1,124", 9-12, Glen Head,11545,NY,11545.0,6010.0,2810.0,2790.0,310.0,1996087.0,2029149.0,79.0,3690.0,40803.0
8,Robert Seaman Elementary School,10,Public district,292, K-5, Jericho,11753,NY,11753.0,6550.0,2710.0,3350.0,360.0,1518995.0,1547379.0,55.0,4090.0,27026.0
9,Increase Miller Elementary School,10,Public district,461, K-5, South Salem,10590,NY,10590.0,3180.0,1410.0,1520.0,190.0,561248.0,574094.0,37.0,2050.0,8789.0
10,Katonah Elementary School,10,Public district,418, K-5, Katonah,10536,NY,10536.0,5120.0,2230.0,2500.0,280.0,1602103.0,1627283.0,66.0,3250.0,46072.0
11,Meadow Pond Elementary School,10,Public district,347, K-5, South Salem,10590,NY,10590.0,3180.0,1410.0,1520.0,190.0,561248.0,574094.0,37.0,2050.0,8789.0
12,Keene Central School,10,Public district,171, K-12, Keene Valley,12943,NY,12943.0,210.0,100.0,100.0,0.0,12920.0,13261.0,0.0,70.0,201.0
13,Murray Avenue School,10,Public district,754, K-5, Larchmont,10538,NY,10538.0,8150.0,3400.0,4110.0,490.0,3481123.0,3543982.0,75.0,5440.0,85900.0
14,Manor Oaks William Bowie School,10,Public district,331, K-6, New Hyde Park,11040,NY,11040.0,21640.0,9740.0,9870.0,1550.0,2267337.0,2295863.0,223.0,12120.0,50228.0
15,Beacon High School,10,Public district,"1,380", 9-12, New York,10036,NY,10036.0,18920.0,13910.0,3320.0,1130.0,5666105.0,5718183.0,57.0,9810.0,143019.0
16,Bronx High School Of Science,10,Public district,"2,997", 9-12, Bronx,10468,NY,10468.0,36190.0,18800.0,5050.0,11840.0,1130171.0,1139152.0,119.0,6090.0,13722.0
17,Brooklyn Technical High School,10,Public district,"5,839", 9-12, Brooklyn,11217,NY,11217.0,20720.0,13470.0,4560.0,2170.0,2851362.0,2897328.0,118.0,10700.0,33920.0
18,Ps 5 Huguenot,10,Public district,300, K-5, Staten Island,10312,NY,10312.0,29460.0,13430.0,12240.0,3150.0,2470899.0,2493363.0,441.0,16050.0,42519.0
19,Ps 6 Lillie D Blake,10,Public district,688, PK-5, New York,10028,NY,10028.0,25540.0,16600.0,7230.0,910.0,10544654.0,10676779.0,122.0,16490.0,400266.0
20,Ps 35 The Clove Valley School,10,Public district,393, K-5, Staten Island,10301,NY,10301.0,18300.0,9390.0,4790.0,3710.0,1304009.0,1319701.0,160.0,7000.0,21746.0
21,P.S. 40 Augustus St.-Gaudens,10,Public district,679, PK-5, New York,10003,NY,10003.0,28950.0,22020.0,5340.0,870.0,8764798.0,8866747.0,81.0,18060.0,362239.0
22,Ps 41 Crocheron,10,Public district,488, K-5, Queens,11361,NY,11361.0,13970.0,6810.0,5360.0,1510.0,987520.0,999299.0,126.0,5650.0,13870.0
23,Ms 51 William Alexander,10,Public district,"1,132", 6-8, Brooklyn,11215,NY,11215.0,33120.0,18890.0,10820.0,2400.0,4886040.0,4980229.0,329.0,17700.0,70030.0
24,Jhs 54 Booker T Washington,10,Public district,851, 6-8, New York,10025,NY,10025.0,45880.0,28250.0,11590.0,4760.0,7336328.0,7485255.0,312.0,22330.0,153852.0
25,Ps 59 Beekman Hill International,10,Public district,611, PK-5, New York,10022,NY,10022.0,20230.0,13200.0,5570.0,650.0,12031917.0,12169071.0,50.0,14410.0,774562.0
26,Ps 79 Francis Lewis,10,Public district,"1,133", PK-5, Queens,11357,NY,11357.0,20170.0,9710.0,8220.0,1840.0,1722346.0,1744039.0,219.0,9750.0,27202.0
27,Ps 94 David D Porter,10,Public district,326, K-5, Queens,11363,NY,11363.0,3480.0,1670.0,1460.0,270.0,456483.0,464365.0,26.0,1830.0,8146.0
28,Ps 105 The Blythebourne,10,Public district,"1,514", K-5, Brooklyn,11219,NY,11219.0,33810.0,12390.0,17280.0,3730.0,1664409.0,1687679.0,176.0,5000.0,154756.0
29,Ps 107 John W Kimball,10,Public district,566, K-5, Brooklyn,11215,NY,11215.0,33120.0,18890.0,10820.0,2400.0,4886040.0,4980229.0,329.0,17700.0,70030.0
30,Ps 110 Florence Nightingale,10,Public district,379, PK-5, New York,10002,NY,10002.0,42290.0,25770.0,10170.0,5480.0,2489499.0,2523419.0,118.0,10390.0,32728.0
31,Ps 130 Hernando De Soto,10,Public district,912, PK-5, New York,10013,NY,10013.0,15140.0,9350.0,4530.0,810.0,7343503.0,7420682.0,28.0,7920.0,188144.0
32,Ps 150,10,Public district,188, PK-5, New York,10013,NY,10013.0,15140.0,9350.0,4530.0,810.0,7343503.0,7420682.0,28.0,7920.0,188144.0
33,Jhs 167 Robert F Wagner,10,Public district,"1,335", 6-8, New York,10021,NY,10021.0,23350.0,15060.0,6660.0,770.0,14303821.0,14438493.0,86.0,16210.0,666043.0
